Paper #,Experiment #,Original paper figure,Was experiment originally identified by RP:CB team,Did experiment continue after sharing with labs (before submitting protocol to eLife),Did the experiment protocol get submitted to eLife,Did the experiment protocol get accepted and published in eLife,Clarifications asked of original authors,Quality of response from original authors,Data shared by original authors,Code shared by original authors,Key materials asked to be shared,Key materials offered to be shared,Key materials shared,Type of experiment,What types of experimental techniques were utilized?,What category of experimental techniques were utilized?,Number of lab(s) contracted for the experiment,Lab(s) contracted for the experiment,Registered Report protocol,Experiment description,Original sample number (reported),Replication sample number (power),Replication sample number (reported),Replication experiment attempted,Replication experiment completed,"If experiment incomplete, why?",Changes needed during experimentation?,"If modifications were needed for experiment to proceed, what were they?",Changes able to be implemented during experimentation?,"If modifications unable to be fully implemented, why?",Replication study figure,Were materials shippped between replicating labs?,"If a material was shipped between replicating labs, what was it?",Was the original experiment blinded?,Was the replication experiment blinded?,Was the original experiment randomized?,Was the replication experiment randomized?,Was the original experiment sample size determined a priori?,Was the replication experiment sample size determined a priori?,Was a statistical test reported in the original paper?,What statistical test(s) was reported?,Was variation of biological repeats reported in the original experiment?,Notes
1,1,1D,Yes,Yes,Yes,Yes,2,2,0,0,NA,NA,NA,Cell-based,"transfection (microRNA),cell culture,RNA extraction,qRT-PCR,microscopy (bright-field, fluorescence)","cell,immuno,molecular",2,"Core1,CRO1",1,PTEN and PTENP1 mRNA expression after miR-19b and miR-20a mimic expression,3,6,NA,Yes,No,It was identified after results were obtained that the si-miR-19b adn si-miR-20a reagents listed in the Registered Report and used in the replication experiment were incorrect. The catalog numbers listed were for microRNA hairpin inhibitors not microRNA mimics.,2,Melting curves for PTEN and PTENP1 were inconsisent and required repeating measuring; Experiment done with inhibitors instead of mimics,3,Time/budget constraint prevented implementation of experiment with microRNA mimics,NA,Yes,RNA,No,No,No,No,No,Yes,Yes,Student's t test,Yes,"methods state unpaired t-test, assumed to be Student's t-test"
1,2,2F,Yes,No,No,Yes,2,2,0,0,NA,NA,NA,Cell-based,"transfection (siRNA),cell culture,cell proliferation/viability assay (Crystal violet),microscopy (bright-field, fluorescence)","cell,immuno",1,CRO1,2,DU145 cell proliferation after PTEN and/or PTENP1 knockdown,3,5,5,Yes,Yes,NA,0,NA,6,NA,1,No,NA,No,No,No,No,No,Yes,No,NA,Yes,
1,3,2G,Yes,No,No,Yes,2,2,0,0,NA,NA,NA,Cell-based,"transfection (siRNA),cell culture,RNA extraction,qRT-PCR,microscopy (bright-field, fluorescence)","cell,immuno,molecular",2,"Core1,CRO1",3,PTEN and PTENP1 mRNA expression after PTEN and/or PTENP1 knockdown,3,5,5,Yes,Yes,NA,2,Melting curves for PTEN and PTENP1 were inconsisent and required repeating measuring,5,NA,2,Yes,RNA,No,No,No,No,No,Yes,Yes,Student's t test,Yes,"methods state unpaired t-test, assumed to be Student's t-test"
1,4,2H,Yes,No,No,Yes,2,2,0,0,NA,NA,NA,Cell-based,"transfection (siRNA),cell culture,Western blot assay,microscopy (bright-field, fluorescence)","cell,immuno,molecular",1,CRO1,4,PTEN protein expression after PTEN and/or PTENP1 knockdown,unknown,5,5,Yes,Yes,NA,1,Western blot conditions needed to be optimized for detecting PTEN,5,NA,3,No,NA,No,No,No,No,No,Yes,No,NA,No,
1,5,4A(left),Yes,Yes,Yes,Yes,2,2,0,0,Plasmids,Plasmids,No,Cell-based,"transfection (plasmid),cell culture,RNA extraction,qRT-PCR","cell,molecular",3,"Core1,CRO2,CRO3",5,PTENP1 mRNA expression after PTEN 3'UTR expression,3,3,3,Yes,Yes,NA,3,"Melting curves for PTEN and PTENP1 were inconsisent and required repeating measuring; Plasmids were going to be shared, but ended up not, so plasmids were remade during replication",5,NA,4,Yes,"Plasmid,RNA",No,No,No,No,No,Yes,Yes,Student's t test,Yes,"methods state unpaired t-test, assumed to be Student's t-test"
1,6,4A(right),Yes,Yes,Yes,Yes,2,2,0,0,Plasmids,Plasmids,No,Cell-based,"transfection (plasmid),cell culture,cell proliferation/viability assay (Crystal violet)",cell,2,"CRO2,CRO3",6,DU145 cell proliferation after PTEN 3'UTR expression,3,3,3,Yes,Yes,NA,1,"Plasmids were going to be shared, but ended up not, so plasmids were remade during replication",5,NA,5,Yes,Plasmid,No,No,No,No,No,Yes,No,NA,Yes,
1,7,2A(left),Yes,Yes,Yes,No,2,2,0,0,Plasmids,Plasmids,NA,Cell-based,"viral transduction,cell culture,RNA extraction,qRT-PCR","cell,molecular",NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Student's t test,Yes,"methods state unpaired t-test, assumed to be Student's t-test"
1,8,2A(right),Yes,Yes,Yes,No,2,2,0,0,Plasmids,Plasmids,NA,Cell-based,"viral transduction,cell culture,Western blot assay","cell,immuno",NA,NA,NA,NA,unknown,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,No,
1,9,2B,Yes,No,No,No,2,2,0,0,Plasmids,Plasmids,NA,Cell-based,"viral transduction,cell culture,flow cytometry","cell,immuno",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,No,
1,10,2C,Yes,Yes,Yes,No,2,2,0,0,Plasmids,Plasmids,NA,Cell-based,"viral transduction,cell culture,cell proliferation/viability assay (Crystal violet)",cell,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,Yes,
1,11,2D,Yes,Yes,Yes,No,2,2,0,0,Plasmids,Plasmids,NA,Cell-based,"viral transduction,cell culture,soft agar assay",cell,NA,NA,NA,NA,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Student's t test,Yes,"methods state unpaired t-test, assumed to be Student's t-test"
2,1,1C,Yes,Yes,Yes,Yes,2,2,0,0,Cells,No,No,Cell-based,"cell isolation,cell culture,cell counting assay (Coulter)",cell,2,"CRO4,CRO5","1,2",Percent of DTPs present after PC9 erlotinib treatment,3,3,NA,Yes,No,DNPs could not be reliable generated,5,"During DTP generation: PC9 cells continue to proliferate and have a high number of resistent cells at 2 µM erlotinib (checked dose response curve, inhibition of EGFR phosphorylation, deletion in EGFR gene); Attempted DTP generation at different doses and cell density",2,Time/budget constraint prevented implementation of higher dose to generate DTPs,NA,Yes,Cell lysate,No,No,No,No,No,Yes,No,NA,Yes,
2,2,2E,Yes,Yes,Yes,Yes,2,2,0,0,Cells,No,No,Cell-based,"cell isolation,cell culture,cell proliferation/viability assay (Syto60)",cell,1,CRO4,"1,2,3",Percent survival of drug-naive PC9 cells and erlotinib-resistant DTPs,4,4,NA,No,NA,NA,NA,NA,NA,NA,NA,No,NA,No,NA,No,NA,No,Yes,No,NA,Yes,
2,3,"2B,4A(upper),1E(upper,right)",Yes,Yes,Yes,Yes,3,1,0,0,Cells,No,No,Cell-based,"cell isolation,cell culture,Western blot assay","cell,immuno",1,CRO4,"1,2,4","H3K14 acetylation, CD133, and pEGFR levels in drug-naive PC9 cells and erlotinib-resistant DTPs",unknown,4,NA,No,NA,NA,NA,NA,NA,NA,NA,No,NA,No,NA,No,NA,No,Yes,No,NA,No,
