Paper #,Original paper title,Year,Original paper journal,Number of original authors,OSF project link,Draft protocol shared with original authors date,Budget per paper at project onset when originally identified by RP:CB team,Anticipated budget when Registered Report manuscript ready for submission to eLife,Anticipated budget when Registered Report accepted and published in eLife,Actual budget at completion of replication attempt,Registered Report submission date,Registered Report acceptance date,Link to Registered Report,Experimental work start date,Experimental work end date,Replication study fully completed,"If Replication study incomplete, why?",Replication study submission date,Replication study acceptance date ,Link to Replication study,Did original authors respond to any emails?,Did the original paper have a potential conflict of issue statement?,Did the replication study have a potential conflict of issue statement?,Number of lab(s) contracted for the entire paper,Contracted lab(s) for the entire paper,Notes
1,A coding-independent function of gene and pseudogene mRNAs regulates tumour biology.,2010,Nature,6,https://osf.io/yyqas/,10/14/2014,25000,15150,27845,70193.21,4/21/2015,8/8/2015,https://elifesciences.org/articles/08245,8/31/2015,1/6/2019,Partial,It was identified after results were obtained that the si-miR-19b adn si-miR-20a reagents listed in the Registered Report and used in the replication experiment were incorrect. The catalog numbers listed were for microRNA hairpin inhibitors not microRNA mimics.,8/12/2019,2/20/2020,https://elifesciences.org/articles/51019,Yes,Yes,Yes,4,"Core1,CRO1,CRO2,CRO3",
2,A chromatin-mediated reversible drug-tolerant state in cancer cell subpopulations,2010,Cell,16,https://osf.io/xbign/,10/8/2014,25000,43725,57025,56413.03,6/16/2015,10/29/2015,https://elifesciences.org/articles/09462,1/12/2016,10/19/2016,No,DNPs could not be reliable generated,NA,NA,NA,Yes,No,NA,2,"CRO4,CRO5",
3,Long non-coding RNA HOTAIR reprograms chromatin state to promote cancer metastasis,2010,Nature,18,https://osf.io/4bokd/,12/18/2014,25000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,No,NA,NA,NA,
4,"Leukemic IDH1 and IDH2 mutations result in a hypermethylation phenotype, disrupt TET2 function, and impair hematopoietic differentiation",2010,Cancer Cell,26,https://osf.io/xdojz/,12/11/2014,25000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,NA,NA,NA,A statement in the acknowledgment section was identified as a COI statement.
5,Tumour vascularization via endothelial differentiation of glioblastoma stem-like cells,2010,Nature,11,https://osf.io/mpyvx/,5/9/2014,25000,43011.25,45205.51,49442.97,8/14/2014,1/27/2015,https://elifesciences.org/articles/04363,1/27/2015,6/16/2017,Partial,Expression of reporter cells at 80% or greater could not be reliably generated,NA,NA,https://elifesciences.org/articles/73430,Yes,Yes,NA,2,"CRO6,CRO7",Results included in 'Experiments from unfinished Registered Reports in the Reproducibility Project: Cancer Biology'
6,Diverse somatic mutation patterns and pathway alterations in human cancers.,2010,Nature,32,https://osf.io/jpeqg/,1/21/2015,25000,27535.8,27535.8,64420.8,9/15/2015,1/8/2016,https://elifesciences.org/articles/11566,1/22/2016,11/25/2018,Partial,Colonies could not be reliably detected; Inefficiency of IP and/or expression,NA,NA,https://elifesciences.org/articles/73430,Yes,Yes,NA,2,"CRO8,Core2",Results included in 'Experiments from unfinished Registered Reports in the Reproducibility Project: Cancer Biology'
7,Kinase-dead BRAF and oncogenic RAS cooperate to drive tumor progression through CRAF.,2010,Cell,11,https://osf.io/b1aw6/,1/26/2015,25000,33163.96,33163.96,34441.21,10/2/2015,1/25/2016,https://elifesciences.org/articles/11999,9/6/2016,3/18/2018,Partial,Incomplete western blot analysis; Inefficiency of IP and/or transfection,NA,NA,https://elifesciences.org/articles/73430,Yes,Yes,NA,1,CRO9,A statement in the acknowledgment section was identified as a COI statement; Results included in 'Experiments from unfinished Registered Reports in the Reproducibility Project: Cancer Biology'
8,RAF inhibitors prime wild-type RAF to activate the MAPK pathway and enhance growth.,2010,Nature,21,https://osf.io/0hezb/,8/11/2014,25000,18805.42,25443.44,61496.12,7/9/2015,1/6/2016,https://elifesciences.org/articles/09976,2/15/2016,9/19/2017,Partial,Inefficiency of IP,8/29/2018,NA,https://www.biorxiv.org/content/10.1101/2021.11.30.470372,Yes,Yes,NA,4,"CRO9,Core1,CRO10,Core3",Replication study rejected.
9,Wnt activity defines colon cancer stem cells and is regulated by the microenvironment.,2010,Nature Cell Biology,15,https://osf.io/pgjhx/,9/17/2014,25000,25500,70500,126870,3/3/2015,8/1/2015,https://elifesciences.org/articles/07301,9/4/2015,6/20/2018,Yes,NA,1/23/2019,6/7/2019,https://elifesciences.org/articles/45426,Yes,Yes,Yes,3,"CRO11,CRO12,CRO13",
10,The transcriptional network for mesenchymal transformation of brain tumours,2010,Nature,14,https://osf.io/mfxpj/,5/21/2014,25000,28000,NA,NA,4/29/2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,No,NA,2,"Core7,Core8",Registered report rejected
11,Melanomas acquire resistance to B-RAF(V600E) inhibition by RTK or N-RAS upregulation,2010,Nature,16,https://osf.io/679uw/,1/22/2015,25000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,NA,NA,NA,
12,COT drives resistance to RAF inhibition through MAP kinase pathway reactivation,2010,Nature,35,https://osf.io/lmhjg/,11/11/2014,25000,29872.55,29872.55,30947.05,9/17/2015,3/7/2016,https://elifesciences.org/articles/11414,3/8/2016,1/26/2018,Partial,Western blots could not be reliably detected; Viability assay could not be reliably performed,NA,NA,https://elifesciences.org/articles/73430,Yes,Yes,NA,1,CRO8,Results included in 'Experiments from unfinished Registered Reports in the Reproducibility Project: Cancer Biology'
14,RAF inhibitors transactivate RAF dimers and ERK signalling in cells with wild-type BRAF,2010,Nature,5,https://osf.io/acpq7/,11/13/2014,25000,45864.58,NA,NA,4/3/2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,NA,1,CRO25,Registered report withdrawn due to resource constraint
15,Coadministration of a Tumor-Penetrating Peptide Enhances the Efficacy of Cancer Drugs,2010,Science,7,https://osf.io/xu1g2/,6/9/2014,25000,38813.16,39313.16,43516.84,2/11/2015,4/29/2015,https://elifesciences.org/articles/06959,4/30/2015,8/26/2015,Yes,NA,5/6/2016,8/30/2016,https://elifesciences.org/articles/17584,Yes,Yes,Yes,2,"Core4,CRO14",A statement in the acknowledgment section was identified as a COI statement.
16,The common feature of leukemia-associated IDH1 and IDH2 mutations is a neomorphic enzyme activity converting alpha-ketoglutarate to 2-hydroxyglutarate,2010,Cancer Cell,16,https://osf.io/8l4ea/,2/13/2015,25000,33994,33994,33994,10/30/2015,2/13/2016,https://elifesciences.org/articles/12626,2/13/2016,2/7/2017,Yes,NA,2/15/2017,5/22/2017,https://elifesciences.org/articles/26030,No,Yes,Yes,2,"Core5,Core6",A statement in the acknowledgment section was identified as a COI statement.
17,Impaired hydroxylation of 5-methylcytosine in myeloid cancers with mutant TET2,2010,Nature,15,https://osf.io/udw78/,10/14/2014,25000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,NA,NA,NA,
18,RNAi screen identifies Brd4 as a therapeutic target in acute myeloid leukaemia,2011,Nature,20,https://osf.io/devog/,7/30/2014,25000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,NA,NA,NA,
19,BET bromodomain inhibition as a therapeutic strategy to target c-Myc,2011,Cell,24,https://osf.io/7zqxp/,8/20/2014,25000,37818,39843,39156.76,2/17/2015,6/8/2015,https://elifesciences.org/articles/07072,6/8/2015,3/15/2016,Yes,NA,9/5/2016,11/22/2016,https://elifesciences.org/articles/21253,Yes,No,Yes,1,Core4,
20,Biomechanical remodeling of the microenvironment by stromal caveolin-1 favors tumor invasion and metastasis.,2011,Cell,17,https://osf.io/7yqmp/,5/14/2014,25000,31211.1,54295.8,70474.11,9/17/2014,6/26/2015,https://elifesciences.org/articles/04796,6/26/2015,4/27/2018,Partial,SMA staining could not be reliably detected,1/14/2019,11/6/2019,https://elifesciences.org/articles/45120,Yes,No,Yes,3,"Core7,Core8,CRO15",
