Paper #,Study Title (O),dir,Experiment #,Effect #,Description of effect (O),Replicate (R),n_internal_reps,frac_internal_reps_positive
1,A coding-independent function of gene and pseudogene mRNAs regulates tumour biology,Paper 1 - A codingindependent function of gene and pseudogene mRNAs regulates tumour biology,2,1,DU145 cell proliferation between siLuc and siPTEN,no,1,0.0
1,A coding-independent function of gene and pseudogene mRNAs regulates tumour biology,Paper 1 - A codingindependent function of gene and pseudogene mRNAs regulates tumour biology,2,2,DU145 cell proliferation between siLuc and siPTENP1,yes,1,1.0
1,A coding-independent function of gene and pseudogene mRNAs regulates tumour biology,Paper 1 - A codingindependent function of gene and pseudogene mRNAs regulates tumour biology,2,3,DU145 cell proliferation between siLuc and siPTEN+siPTENP1,yes,1,1.0
1,A coding-independent function of gene and pseudogene mRNAs regulates tumour biology,Paper 1 - A codingindependent function of gene and pseudogene mRNAs regulates tumour biology,2,4,DU145 cell proliferation between siPTEN+siPTENP1 and siPTEN,yes,1,1.0
1,A coding-independent function of gene and pseudogene mRNAs regulates tumour biology,Paper 1 - A codingindependent function of gene and pseudogene mRNAs regulates tumour biology,2,5,DU145 cell proliferation between siPTEN+siPTENP1 and siPTENP1,no,1,0.0
1,A coding-independent function of gene and pseudogene mRNAs regulates tumour biology,Paper 1 - A codingindependent function of gene and pseudogene mRNAs regulates tumour biology,3,1,PTEN mRNA expression between siLuc and siPTEN,yes,1,1.0
1,A coding-independent function of gene and pseudogene mRNAs regulates tumour biology,Paper 1 - A codingindependent function of gene and pseudogene mRNAs regulates tumour biology,3,2,PTEN mRNA expression between siLuc and siPTENP1,no,1,0.0
1,A coding-independent function of gene and pseudogene mRNAs regulates tumour biology,Paper 1 - A codingindependent function of gene and pseudogene mRNAs regulates tumour biology,3,3,PTEN mRNA expression between siLuc and siPTEN+siPTENP1,yes,1,1.0
1,A coding-independent function of gene and pseudogene mRNAs regulates tumour biology,Paper 1 - A codingindependent function of gene and pseudogene mRNAs regulates tumour biology,3,4,PTENP1 mRNA expression between siLuc and siPTEN,no,1,0.0
1,A coding-independent function of gene and pseudogene mRNAs regulates tumour biology,Paper 1 - A codingindependent function of gene and pseudogene mRNAs regulates tumour biology,3,5,PTENP1 mRNA expression between siLuc and siPTENP1,yes,1,1.0
1,A coding-independent function of gene and pseudogene mRNAs regulates tumour biology,Paper 1 - A codingindependent function of gene and pseudogene mRNAs regulates tumour biology,3,6,PTENP1 mRNA expression between siLuc and siPTEN+siPTENP1,yes,1,1.0
1,A coding-independent function of gene and pseudogene mRNAs regulates tumour biology,Paper 1 - A codingindependent function of gene and pseudogene mRNAs regulates tumour biology,4,1,PTEN protein expression between siLuc and siPTEN,yes,1,1.0
1,A coding-independent function of gene and pseudogene mRNAs regulates tumour biology,Paper 1 - A codingindependent function of gene and pseudogene mRNAs regulates tumour biology,4,2,PTEN protein expression between siLuc and siPTENP1,no,1,0.0
1,A coding-independent function of gene and pseudogene mRNAs regulates tumour biology,Paper 1 - A codingindependent function of gene and pseudogene mRNAs regulates tumour biology,4,3,PTEN protein expression between siLuc and siPTEN+siPTENP1,yes,1,1.0
1,A coding-independent function of gene and pseudogene mRNAs regulates tumour biology,Paper 1 - A codingindependent function of gene and pseudogene mRNAs regulates tumour biology,4,4,PTEN protein expression between siPTEN+siPTENP1 and siPTEN,no,1,0.0
1,A coding-independent function of gene and pseudogene mRNAs regulates tumour biology,Paper 1 - A codingindependent function of gene and pseudogene mRNAs regulates tumour biology,4,5,PTEN protein expression between siPTEN+siPTENP1 and siPTENP1,yes,1,1.0
1,A coding-independent function of gene and pseudogene mRNAs regulates tumour biology,Paper 1 - A codingindependent function of gene and pseudogene mRNAs regulates tumour biology,5,1,PTENP1 mRNA expression between pCMV and PTEN 3'UTR,no,1,0.0
1,A coding-independent function of gene and pseudogene mRNAs regulates tumour biology,Paper 1 - A codingindependent function of gene and pseudogene mRNAs regulates tumour biology,6,1,DU145 cell proliferation between pCMV and PTEN 3'UTR,yes,1,1.0
5,Tumour vascularization via endothelial differentiation of glioblastoma stem-like cells,Paper 5 - Tumour vascularization via endothelial differentiation of glioblastoma stemlike cells,1,1,Tie2 expression in GSC83 vs HMVEC cells,yes,1,1.0
5,Tumour vascularization via endothelial differentiation of glioblastoma stem-like cells,Paper 5 - Tumour vascularization via endothelial differentiation of glioblastoma stemlike cells,1,2,Tie2 expression in U87MG vs HMVEC cells,yes,1,1.0
5,Tumour vascularization via endothelial differentiation of glioblastoma stem-like cells,Paper 5 - Tumour vascularization via endothelial differentiation of glioblastoma stemlike cells,1,3,Tie2 expression in GSC83 vs U87MG cells,no,1,0.0
6,Diverse somatic mutation patterns and pathway alterations in human cancers,Paper 6 - Diverse somatic mutation patterns and pathway alterations in human cancers,1,1,Colony number of GNAO1-WT HMEC cells vs GNAO1-R243H HMEC cells,yes,1,1.0
7,Kinase-dead BRAF and oncogenic RAS cooperate to drive tumor progression through CRAF,Paper 7 - Kinasedead BRAF and oncogenic RAS cooperate to drive tumor progression through CRAF,1,1,"pERK levels in A375 cells treated with vehicle vs all three drug treatments (PD184352, sorafenib, and SB590885)",yes,1,1.0
7,Kinase-dead BRAF and oncogenic RAS cooperate to drive tumor progression through CRAF,Paper 7 - Kinasedead BRAF and oncogenic RAS cooperate to drive tumor progression through CRAF,1,2,pERK levels in D04 cells treated with vehicle vs PD184352 and sorafenib,yes,1,1.0
7,Kinase-dead BRAF and oncogenic RAS cooperate to drive tumor progression through CRAF,Paper 7 - Kinasedead BRAF and oncogenic RAS cooperate to drive tumor progression through CRAF,1,3,pERK levels in D04 cells treated with vehicle vs SB590885,no,1,0.0
8,RAF inhibitors prime wild-type RAF to activate the MAPK pathway and enhance growth,Paper 8 - RAF inhibitors prime wildtype RAF to activate the MAPK pathway and enhance growth,1,1,IC50 values of PLX4720 A375 cells vs PLX4720 HCT116 and MeWo cells,yes,1,1.0
8,RAF inhibitors prime wild-type RAF to activate the MAPK pathway and enhance growth,Paper 8 - RAF inhibitors prime wildtype RAF to activate the MAPK pathway and enhance growth,1,2,IC50 values of GDC-0879 A375 cells vs GDC-0879 HCT116 and MeWo cells,yes,1,1.0
8,RAF inhibitors prime wild-type RAF to activate the MAPK pathway and enhance growth,Paper 8 - RAF inhibitors prime wildtype RAF to activate the MAPK pathway and enhance growth,1,3,IC50 values of PD0325901 A375 cells vs PLX4720 and GDC-0879 A375 cells,no,1,0.0
8,RAF inhibitors prime wild-type RAF to activate the MAPK pathway and enhance growth,Paper 8 - RAF inhibitors prime wildtype RAF to activate the MAPK pathway and enhance growth,1,4,IC50 values of PD0325901 HCT116 cells vs PLX4720 and GDC-0879 HCT116 cells,yes,1,1.0
8,RAF inhibitors prime wild-type RAF to activate the MAPK pathway and enhance growth,Paper 8 - RAF inhibitors prime wildtype RAF to activate the MAPK pathway and enhance growth,1,5,IC50 values of PD0325901 MeWo cells vs PLX4720 and GDC-0879 MeWo cells,yes,1,1.0
8,RAF inhibitors prime wild-type RAF to activate the MAPK pathway and enhance growth,Paper 8 - RAF inhibitors prime wildtype RAF to activate the MAPK pathway and enhance growth,2,1,pMEK/MEK levels between -shBRAF and +shBRAF cells treated with PLX4720,no,1,0.0
8,RAF inhibitors prime wild-type RAF to activate the MAPK pathway and enhance growth,Paper 8 - RAF inhibitors prime wildtype RAF to activate the MAPK pathway and enhance growth,2,2,pMEK/MEK levels between -shCRAF and +shCRAF cells treated with PLX4720,yes,1,1.0
8,RAF inhibitors prime wild-type RAF to activate the MAPK pathway and enhance growth,Paper 8 - RAF inhibitors prime wildtype RAF to activate the MAPK pathway and enhance growth,2,3,pMEK/MEK levels between -shBRAF and +shBRAF cells treated with GDC-0879,yes,1,1.0
8,RAF inhibitors prime wild-type RAF to activate the MAPK pathway and enhance growth,Paper 8 - RAF inhibitors prime wildtype RAF to activate the MAPK pathway and enhance growth,2,4,pMEK/MEK levels between -shCRAF and +shCRAF cells treated with GDC-0879,no,1,0.0
9,Wnt activity defines colon cancer stem cells and is regulated by the microenvironment,Paper 9 - Wnt activity defines colon cancer stem cells and is regulated by the microenvironment,1,1,CD133 expression between TOP-GFPlow vs TOP-GFPhigh (450 culture),yes,3,1.0
9,Wnt activity defines colon cancer stem cells and is regulated by the microenvironment,Paper 9 - Wnt activity defines colon cancer stem cells and is regulated by the microenvironment,1,2,CD24 expression between TOP-GFPlow vs TOP-GFPhigh (450 culture),yes,3,0.6666666666666666
9,Wnt activity defines colon cancer stem cells and is regulated by the microenvironment,Paper 9 - Wnt activity defines colon cancer stem cells and is regulated by the microenvironment,1,3,CD29 expression between TOP-GFPlow vs TOP-GFPhigh (450 culture),yes,3,1.0
9,Wnt activity defines colon cancer stem cells and is regulated by the microenvironment,Paper 9 - Wnt activity defines colon cancer stem cells and is regulated by the microenvironment,1,4,CD44 expression between TOP-GFPlow vs TOP-GFPhigh (450 culture),no,3,0.0
9,Wnt activity defines colon cancer stem cells and is regulated by the microenvironment,Paper 9 - Wnt activity defines colon cancer stem cells and is regulated by the microenvironment,1,5,CD166 expression between TOP-GFPlow vs TOP-GFPhigh (450 culture),yes,3,0.6666666666666666
9,Wnt activity defines colon cancer stem cells and is regulated by the microenvironment,Paper 9 - Wnt activity defines colon cancer stem cells and is regulated by the microenvironment,2,1,Clonogenic frequency between TOP-GFPlow vs TOP-GFPhigh (450 culture),yes,3,1.0
9,Wnt activity defines colon cancer stem cells and is regulated by the microenvironment,Paper 9 - Wnt activity defines colon cancer stem cells and is regulated by the microenvironment,2,2,Clonogenic frequency between TOP-GFPlow vs TOP-GFPlow + HGF (450 culture),no,3,0.3333333333333333
9,Wnt activity defines colon cancer stem cells and is regulated by the microenvironment,Paper 9 - Wnt activity defines colon cancer stem cells and is regulated by the microenvironment,2,3,Clonogenic frequency between TOP-GFPlow vs TOP-GFPlow + MFCM (450 culture),yes,3,0.6666666666666666
9,Wnt activity defines colon cancer stem cells and is regulated by the microenvironment,Paper 9 - Wnt activity defines colon cancer stem cells and is regulated by the microenvironment,2,4,Clonogenic frequency between TOP-GFPlow + HGF vs TOP-GFPlow + HGF + PHA (450 culture),yes,3,0.6666666666666666
9,Wnt activity defines colon cancer stem cells and is regulated by the microenvironment,Paper 9 - Wnt activity defines colon cancer stem cells and is regulated by the microenvironment,2,5,Clonogenic frequency between TOP-GFPlow + MFCM vs TOP-GFPlow + MFCM + PHA (450 culture),yes,3,1.0
9,Wnt activity defines colon cancer stem cells and is regulated by the microenvironment,Paper 9 - Wnt activity defines colon cancer stem cells and is regulated by the microenvironment,2,6,Clonogenic frequency between TOP-GFPwhole vs TOP-GFPwhole + PHA (450 culture),no,3,0.3333333333333333
9,Wnt activity defines colon cancer stem cells and is regulated by the microenvironment,Paper 9 - Wnt activity defines colon cancer stem cells and is regulated by the microenvironment,3,1,Tumorigenicity frequency between TOP-GFPlow vs TOP-GFPhigh (450 culture),no,1,0.0
9,Wnt activity defines colon cancer stem cells and is regulated by the microenvironment,Paper 9 - Wnt activity defines colon cancer stem cells and is regulated by the microenvironment,3,2,Tumorigenicity frequency between TOP-GFPlow vs TOP-GFPlow + MFCM (450 culture),no,1,0.0
12,COT drives resistance to RAF inhibition through MAP kinase pathway reactivation,Paper 12 - COT drives resistance to RAF inhibition through MAP kinase pathway reactivation,2,1,IC50 values of A375 cells vs HT29/OUMS-23 cells,yes,1,1.0
12,COT drives resistance to RAF inhibition through MAP kinase pathway reactivation,Paper 12 - COT drives resistance to RAF inhibition through MAP kinase pathway reactivation,2,2,IC50 values of A375 cells vs RPMI-7951 cells,yes,1,1.0
12,COT drives resistance to RAF inhibition through MAP kinase pathway reactivation,Paper 12 - COT drives resistance to RAF inhibition through MAP kinase pathway reactivation,3,1,pMEK levels in RPMI-7951 cells treated with MAP3K8 inhibitor (20 uM) compared to DMSO (mu=1),no,1,0.0
12,COT drives resistance to RAF inhibition through MAP kinase pathway reactivation,Paper 12 - COT drives resistance to RAF inhibition through MAP kinase pathway reactivation,3,2,pERK levels in RPMI-7951 cells treated with MAP3K8 inhibitor (20 uM) compared to DMSO (mu=1),no,1,0.0
15,Coadministration of a Tumor-Penetrating Peptide Enhances the Efficacy of Cancer Drugs,Paper 15 - Coadministration of a TumorPenetrating Peptide Enhances the Efficacy of Cancer Drugs,1,1,DOX accumulation in prostate tumor tissue of DOX+PBS vs DOX+iRGD,no,1,0.0
15,Coadministration of a Tumor-Penetrating Peptide Enhances the Efficacy of Cancer Drugs,Paper 15 - Coadministration of a TumorPenetrating Peptide Enhances the Efficacy of Cancer Drugs,2,1,Tumor weight of DOX+PBS vs DOX+iRGD,no,1,0.0
15,Coadministration of a Tumor-Penetrating Peptide Enhances the Efficacy of Cancer Drugs,Paper 15 - Coadministration of a TumorPenetrating Peptide Enhances the Efficacy of Cancer Drugs,2,2,"Percent body weight shift of PBS, DOX+PBS, DOX+iRGD",no,1,0.0
15,Coadministration of a Tumor-Penetrating Peptide Enhances the Efficacy of Cancer Drugs,Paper 15 - Coadministration of a TumorPenetrating Peptide Enhances the Efficacy of Cancer Drugs,3,1,Prostate tumor apoptotic index of DOX+PBS vs DOX+iRGD,no,1,0.0
16,The common feature of leukemia-associated IDH1 and IDH2 mutations is a neomorphic enzyme activity converting alpha-ketoglutarate to 2-hydroxyglutarate,Paper 16 - The common feature of leukemiaassociated IDH1 and IDH2 mutations is a neomorphic enzyme activity converting alphaketoglutarate to 2hydroxyglutarate,1,1,Linear regression slopes of isocitrate-dependent NADPH production assay of wild-type IDH2 vs vector control,yes,1,1.0
