Study Num,Study Title (O),Authors (O),Journal (O),Volume (O),Pages (O),Year (O),Study Reference (O),Test statistic type (O),Test statistic (O),N (O),Number of individuals (O),P-value (O),Effect size r (O),"Effect size r, 95% CI lower (O)","Effect size r, 95% CI upper (O)","Small-telescopes effect size, 33% power (O)",Test statistic type (R),Test statistic (R),N (R),Number of individuals (R),P-value (R),Effect size r (R),"Effect size r, 95% CI lower (R)","Effect size r, 95% CI upper (R)",Power (R),Replicate (R),Meta-analysis significant,Effect size > small telescope threshold (R),Effect size within prediction interval (R),Replication Bayes factor > 1 (R),Target N for 75% power (R),Target N for 50% power (R)
1,Incidental haptic sensations influence social judgments and decisions,"Ackerman, J. M., Nocera, C. C. & Bargh, J. A.",Science,328,1712-1715,2010,(36),"F(1,52)",4.08,54,54,0.048559953,0.26972803,0.002120639,0.50128454,0.2091,t(597),1.5351,599,599,0.12528904,0.062703826,-0.017495269,0.14210123,0.90379256,no,1,0,1,0,259,593
2,"Body cues, not facial expressions, discriminate between intense positive and negative emotions","Aviezer, H., Trope, Y. & Todorov, A.",Science,338,1225-1229,2012,(37),t(14),13.07,15,15,3.101734e-09,0.9613806,0.8849255,0.9873793,0.4041,t(13),5.342,14,14,0.0001338223,0.8288702,0.5324542,0.9442055,0.9302695,yes,1,1,1,1,14,41
3,Affirmative action policies promote women and do not harm efficiency in the laboratory,"Balafoutas, L. & Sutter, M.",Science,335,579-582,2012,(38),Chi2(1),5.62,72,72,0.017756648,0.27788922,0.04940101,0.47873753,0.1808,Chi2(1),5.2199,243,243,0.022329835,0.14641742,0.020959193,0.26733595,0.8975686,yes,1,1,1,1,246,561
4,Experimental evidence for the influence of group size on cultural complexity,"Derex, M., Beugin, M.-P., Godelle, B. & Raymond, M.",Nature,503,389-391,2013,(39),Chi2(1),16.3,51,366,5.4063952e-05,0.5246525,0.29116744,0.6991492,0.2152,Chi2(1),8.8337,65,482,0.0029571822,0.36050302,0.12784484,0.5555543,0.9020266,yes,1,1,1,1,65,155
5,Memory's penumbra: episodic memory decisions induce lingering mnemonic biases,"Duncan, K., Sadanand, A. & Davachi, L.",Science,337,485-487,2012,(40),t(14),3.41,15,15,0.00422795,0.67359084,0.24632318,0.8816392,0.4041,t(91),4.6276,92,92,1.2224008e-05,0.43645984,0.25438288,0.5886547,0.90620846,yes,1,1,1,1,36,92
6,Analytic thinking promotes religious disbelief,"Gervais, W. M. & Norenzayan, A.",Science,336,493-496,2012,(41),t(55),2.24,57,57,0.029151877,0.28914034,0.03090077,0.5111943,0.2034,t(529),-0.8153,531,531,0.41526753,-0.035470117,-0.120197564,0.049770325,0.9100293,no,0,0,0,0,224,514
7,Avoiding overhead aversion in charity,"Gneezy, U., Keenan, E. A. & Gneezy, A.",Science,346,632-635,2014,(42),z,3.0,178,178,0.002699796,0.2229694,0.07845776,0.3583034,0.1147,z,3.7064,407,407,0.0002102262,0.18233825,0.08667044,0.27467388,0.921741,yes,1,1,1,1,376,853
8,Cooperating with the future,"Hauser, O. P., Rand, D. G., Peysakhovich, A. & Nowak, M. A.",Nature,511,220-223,2014,(43),t(38),8.696,40,200,1.4272976e-10,0.8158144,0.6761334,0.8988863,0.2434,t(20),6.7082,22,110,1.5798449e-06,0.83205014,0.6322263,0.92808646,0.91878766,yes,1,1,1,1,22,59
9,Lab experiments for the study of social-ecological systems,"Janssen, M. A., Holahan, R., Lee, A. & Ostrom, E.",Science,328,613-617,2010,(44),z,5.761,63,105,8.361704e-09,0.6314006,0.45478103,0.7602352,0.1934,z,2.2383,42,70,0.025201498,0.34381703,0.044539947,0.5864647,0.90232056,yes,1,1,1,1,42,104
10,Retrieval practice produces more learning than elaborative studying with concept mapping,"Karpicke, J. D. & Blunt, J. R.",Science,331,772-775,2011,(45),"F(1,38)",21.63,40,40,3.9268718e-05,0.6022764,0.35791767,0.76942945,0.2434,t(48),2.8825,49,49,0.0058860765,0.3841326,0.11540128,0.6004685,0.9221244,yes,1,1,1,1,47,114
