claim_id,theta_i_phi1,theta_i_phi2,theta_i_phi3,theta_i_phi4,theta_i_phi_res,cluster_id,R_i,r_train_mean
15_1_1,0.00015152749060371479,0.0017243188883540172,0.0003858571728692599,-7.133413072798397e-05,0.001705974328900995,15,100,80.0
15_2_1,5.75244868308708e-05,0.0029505157106518853,7.930210677604382e-05,1.358674667560733e-05,0.0019188021990655885,15,100,80.0
15_2_2,-4.166756895817055e-05,0.002277705107627234,0.00015076873784217678,0.0001461778550960356,0.0018795989708858029,15,95,76.0
15_3_1,-2.8221698213348744e-06,0.0018397343606705804,2.7419751746404763e-05,3.265357734999891e-06,0.0013236026996693551,15,100,80.0
16_1_1,-1.0328889687993837e-10,-0.00019790014018056134,0.0007401406467812157,3.9397979056284005e-05,0.004096536617631962,16,100,80.0
16_1_2,-2.899737485482425e-09,0.004492978988750759,0.0006896573691868537,0.00012394391010782336,0.003671325460654651,16,99,79.1919191919192
16_1_3,-1.0328891159039344e-10,0.005139614170404238,0.0004995374232165676,5.5558190858643606e-05,0.0026380153188094637,16,100,80.0
16_1_4,-1.0328892685596002e-10,0.003310904552888867,0.00016940078489059124,0.00010776247941223143,0.0033581947860972282,16,100,80.0
16_3_1,-1.0328891464350675e-10,-0.0008540863350693923,0.00026817463386075743,0.00016825387477869213,0.004438939179718868,16,100,80.0
16_3_2,4.054917267700316e-08,0.001952502852117501,-6.200720376707085e-05,-0.0002852865876162014,0.0017030837234264292,16,6,4.666666666666667
16_3_3,-1.0328890631683407e-10,0.0015859470729914194,6.865278977306572e-05,-2.6187557161098106e-05,0.0020142190476855185,16,100,80.0
19_1_1,2.8601738597765443e-10,0.0056355708342846625,-6.027364803969114e-05,0.00022707574179585679,0.002326265522073735,19,67,53.582089552238806
19_1_2,-3.6606851323940884e-10,0.0040746190713879795,4.4930202970784086e-05,0.00019488613656050085,0.0029527535709945314,19,82,65.58536585365853
19_2_1,-4.781818829791007e-12,0.001915495889663824,0.0006382178387469928,2.324115377072805e-05,0.002010838872600285,19,100,80.0
19_2_2,-1.0207512890696713e-05,0.003478819985107301,0.00022675168922642916,6.734787849377588e-06,0.0016614948007075913,19,100,80.0
1_2_1,-1.032889232477352e-10,0.0029642509523863645,-5.304407054205103e-05,4.705243934867119e-05,0.001907248594595936,1,40,32.0
1_2_2,-1.032889159618966e-10,0.001005991681751348,-5.4904248798011425e-06,-9.040525989966255e-06,0.0013186174974073354,1,40,32.0
1_2_3,5.597288661091854e-10,0.0018616224798786857,-0.00014097383523662118,6.542740871935682e-05,0.0022173470852810922,1,37,29.56756756756757
1_2_4,3.5194581852878737e-10,0.00047339938989700617,2.9217543314725775e-05,2.740915905613834e-05,0.0013450835628670437,1,47,37.57446808510638
1_2_5,-1.032889152680072e-10,-0.0002232352619015384,5.416044212180407e-05,0.00016242683866559763,0.0011775465219030538,1,40,32.0
1_3_1,-6.027600838207389e-09,-0.0007944830653117392,9.67879414166516e-05,2.7544410710698963e-05,0.003940555399654259,1,36,28.77777777777778
1_3_2,-7.182916607373899e-09,0.003062985863285064,0.00011797066056170029,0.00026072240367459664,0.0016816605598701463,1,41,32.78048780487805
1_3_3,-1.032889232477352e-10,0.006535905382707348,-0.00021817092801322964,0.00017317814385196668,0.0037719390672428287,1,40,32.0
1_3_4,-3.247544591400892e-10,0.0005403371822139781,1.2951708475539872e-05,2.576036010253316e-05,0.0008032122505694448,1,47,37.57446808510638
1_3_5,6.431704978902322e-10,0.0055823758156411125,0.00023894225194343033,0.00018894449980833548,0.0036309074890358696,1,41,32.78048780487805
1_3_6,6.832577967693812e-09,0.00079438593555135,0.0001454203123125435,0.00026777426543616814,0.008315856048656891,1,42,33.57142857142857
1_5_1,-1.0328892648588568e-10,0.0019204405421627694,5.9290169363390245e-05,1.559318400450871e-05,0.0018408567633138057,1,30,24.0
1_6_1,-1.4745529309687018e-09,0.0008761059310694209,1.994439967632126e-05,0.0002749261378279974,0.00135903189056373,1,39,31.17948717948718
