claim_id,theta_i_phi1,theta_i_phi2,theta_i_phi3,theta_i_phi4,theta_i_phi_res,cluster_id,R_i,r_train_mean
1,0.0,-0.00010832990502275971,5.591003212606069e-05,6.697987730144579e-05,0.0009019399955952544,1,100,80.0
2,6.995901778928754e-05,0.008676748371507026,-0.0001371595260620319,2.9952988544020425e-05,0.005361467898221692,2,100,80.0
3,-5.668557513812789e-05,0.000516759849607889,7.82775019622428e-06,-4.019841388212569e-05,0.0016648213892161451,3,100,80.0
4,-5.169577114254531e-05,0.0005177110015003561,0.00014425040644676506,-3.4591417170032336e-06,0.002284818504912415,4,100,80.0
5,-0.0011039821809212052,0.00892485499792557,-0.00010844861513299164,-7.802455256335938e-05,0.00315370660069199,5,100,80.0
6,-0.00012571188466615132,-6.075192638448343e-05,3.6654762119405214e-05,9.651677477138909e-05,0.0012653735241598355,6,100,80.0
7,-1.2418593640328157e-05,0.00037642694562431357,0.00010634310190872687,2.741225883611309e-05,0.0012967925372711683,7,100,80.0
8,5.844126936131788e-05,0.00015628776758959905,-2.102726055559473e-05,-3.62785501471799e-05,0.0016733205237518774,8,100,80.0
9,0.0,1.0667135299423647e-05,5.742492240971814e-05,1.9335915836141415e-05,0.0015704470264547132,9,100,80.0
10,-0.00016919088666251915,0.0006151950754443753,3.983228098284081e-05,-4.036901857326969e-05,0.0027545512988085765,10,100,80.0
11,-0.0012802648760945928,0.0011816194090723574,0.000408089230958636,0.00015305120223849182,0.0018003362838251047,11,100,80.0
12,-0.000959338337873234,0.002358535375389808,-4.026528108003587e-05,2.9415409671116436e-05,0.001271946583892344,12,100,80.0
13,0.0,0.0011166176025485103,0.0007180877673212807,0.00015629654542991103,0.0018585043347002935,13,100,80.0
14,0.0,0.0010277756677764538,1.0776581877016966e-05,2.4833036146864745e-05,0.001188270964199666,14,100,80.0
15,0.0,0.00038588139414505674,8.641491798776768e-06,-9.390108687135912e-06,0.0017624109727432996,15,100,80.0
16,0.0,0.002105260915180608,-2.614868687035671e-05,0.00010402790076182666,0.001965634870927945,16,100,80.0
17,0.0,0.0006510172235745584,0.000196407885709695,4.331364851483499e-05,0.0010177299922009123,17,100,80.0
18,-2.96894521384522e-05,0.004016747984978275,0.00013161873563342474,0.0001353034722611214,0.0029140755092656252,18,100,80.0
19,0.0001743872497975474,0.002119247774310521,0.00026364795469442095,7.973601821605475e-05,0.001121124752981466,19,100,80.0
20,1.6048103714129125e-05,0.0013430633729283297,0.000583887065246492,7.769732246301064e-06,0.0016232754758647408,20,100,80.0
21,1.688863085486103e-07,0.00033598843491923215,0.00020667499248181508,0.00022895311856026778,0.0026158583177301443,21,100,80.0
