stage,phi_col,theta_hat,theta_hat_raw,share_of_total,se_cluster_robust,ci95_lo_normal,ci95_hi_normal,band95_lo_simultaneous,band95_hi_simultaneous,ci95_lo_boot,ci95_hi_boot,corpus,n_obs,n_claims,n_clusters,r_train,finite_R_correction,adding_up_target_EV,adding_up_total_theta,adding_up_gap_pct,simultaneous_q95
theta_1 (Extraction),phi1,-1.2886744056964916e-05,-1.2886744056964916e-05,-0.00417471984784659,7.928722524171905e-06,-2.842675464775336e-05,2.653266533823527e-06,-3.19600911703982e-05,6.186603056468372e-06,-2.687520847113146e-05,1.0709862823775137e-06,RPP,9000,90,88,80.0,0.9876543209876546,0.0030672888888888883,0.003086852418040021,0.6378117568906153,2.405601539880519
theta_2 (Stat review),phi2,0.0010659402217952554,0.0010659402217952554,0.3453162242437453,0.0001318690397124566,0.0008074816532829583,0.0013243987903075525,0.0007487158568004044,0.0013831645867901062,0.0008134073819942992,0.0013199380525087013,RPP,9000,90,88,80.0,0.9876543209876546,0.0030672888888888883,0.003086852418040021,0.6378117568906153,2.405601539880519
theta_3 (Researcher DoF),phi3,0.00024746189963249457,0.00024746189963249457,0.08016641747635575,4.722510307647469e-05,0.00015490239843641245,0.0003400214008285767,0.0001338571189507108,0.00036106668031427833,0.0001583447039693013,0.00034051622784821763,RPP,9000,90,88,80.0,0.9876543209876546,0.0030672888888888883,0.003086852418040021,0.6378117568906153,2.405601539880519
theta_4 (Theory/context),phi4,6.183048387090628e-05,6.183048387090628e-05,0.020030268862080938,8.646558930650845e-06,4.4883539776627465e-05,7.877742796518511e-05,4.103030839266496e-05,8.263065934914761e-05,4.5371387367305567e-05,7.857531002420016e-05,RPP,9000,90,88,80.0,0.9876543209876546,0.0030672888888888883,0.003086852418040021,0.6378117568906153,2.405601539880519
theta_res (Residual),phi_res,0.0017245065567983297,0.001746062888758309,0.5586618092656646,7.958678103414722e-05,0.0015685193323259257,0.0018804937812707337,0.0015330524737884514,0.001915960639808208,0.0015745587970653553,0.0018789672642784184,RPP,9000,90,88,80.0,0.9876543209876546,0.0030672888888888883,0.003086852418040021,0.6378117568906153,2.405601539880519
theta_1 (Extraction),phi1,-2.63070179956291e-06,-2.63070179956291e-06,-0.0005653339007348226,9.670329243773464e-06,-2.1584198836003355e-05,1.6322795236877533e-05,-2.4581915157082785e-05,1.9320511557956963e-05,-2.0492094980027078e-05,1.4998080474100893e-05,CB,7719,103,20,59.93639928337423,0.9733240140616628,0.00453023390168659,0.004653359361862992,2.7178609945628414,2.269955117779866
theta_2 (Stat review),phi2,0.002419296709256447,0.002419296709256447,0.5199032615198391,0.00025485376335280624,0.0019197925117604528,0.0029188009067524414,0.0018407901048482856,0.0029978033136646084,0.0019492582955306385,0.00289294654991055,CB,7719,103,20,59.93639928337423,0.9733240140616628,0.00453023390168659,0.004653359361862992,2.7178609945628414,2.269955117779866
theta_3 (Researcher DoF),phi3,0.00012980722879428166,0.00012980722879428166,0.027895380240376015,5.923090193725934e-05,1.3716794225429634e-05,0.00024589766336313365,-4.644260188917549e-06,0.00026425871777748086,1.8253114138696707e-05,0.00023787508569693302,CB,7719,103,20,59.93639928337423,0.9733240140616628,0.00453023390168659,0.004653359361862992,2.7178609945628414,2.269955117779866
theta_4 (Theory/context),phi4,4.845041775276758e-05,4.845041775276758e-05,0.01041192265309384,1.3172211892434214e-05,2.263335684686633e-05,7.426747865866883e-05,1.8550087955055725e-05,7.835074755047942e-05,2.4547627483046775e-05,7.284408118485055e-05,CB,7719,103,20,59.93639928337423,0.9733240140616628,0.00453023390168659,0.004653359361862992,2.7178609945628414,2.269955117779866
theta_res (Residual),phi_res,0.002058435707859059,0.0021323727680838617,0.4423547694874259,0.00013723694441664095,0.0017894562394541176,0.0023274151762640006,0.001746914003532034,0.002369957412186084,0.00179644782170301,0.0023138199034607523,CB,7719,103,20,59.93639928337423,0.9733240140616628,0.00453023390168659,0.004653359361862992,2.7178609945628414,2.269955117779866
