corpus,effort,temperature,n_claims,n_clusters,R_min,R_max,plugin_estimator,aggregate_estimator,mean_run_squared_error,mean_V,mean_E,gap_aggregate_minus_plugin,ratio_aggregate_to_plugin
RPP,high,0.7,90,88,100,100,0.1917213177776274,0.1816980080574881,0.23194002222222218,0.0030672888888888883,0.04717472527584518,-0.010023309720139317,0.9477193781248411
RPP,low,0.7,90,88,100,100,0.1917213177776274,0.18560018707804388,0.24146281111111112,0.003304478675645342,0.052558145357421884,-0.006121130699583532,0.9680727695253833
RPP,high,0.2,90,88,100,100,0.1917213177776274,0.18229259939136858,0.23182351111111119,0.0029228338945005614,0.04660807782524204,-0.009428718386258833,0.9508207094779363
RPP,low,0.2,90,88,100,100,0.1917213177776274,0.1858332843625806,0.24213031111111114,0.003467593265993266,0.0528294334825373,-0.005888033415046817,0.9692885825984349
CB,high,0.7,158,23,100,100,0.19073276867247363,0.14226905194235975,0.2231826392405063,0.004728055939138219,0.07618553135900834,-0.048463716730113876,0.7459077584442987
CB,low,0.7,158,23,100,100,0.19073276867247363,0.16433271171991498,0.23981925949367086,0.0035931234496867407,0.07189342432406916,-0.026400056952558648,0.8615861493737721
CB,high,0.2,158,23,100,100,0.19073276867247363,0.14115492395374857,0.2239137594936709,0.0045265055619486,0.07823232997797373,-0.04957784471872506,0.7400664549474445
CB,low,0.2,158,23,100,100,0.19073276867247363,0.16551110574797467,0.24074246202531646,0.003559882048331415,0.07167147422901037,-0.025221662924498955,0.8677643957037628
SSRP,high,0.7,21,21,100,100,0.2225172993462098,0.18960517606877592,0.22354214285714283,0.003612189033189033,0.030324777755177886,-0.0329121232774339,0.8520918446604611
SSRP,low,0.7,21,21,100,100,0.2225172993462098,0.176351334454662,0.20610938095238096,0.0029193713323713323,0.026838675165347638,-0.04616596489154781,0.7925286482121141
SSRP,high,0.2,21,21,100,100,0.2225172993462098,0.1861492581441153,0.22025142857142863,0.003402988936988937,0.030699181490324405,-0.036368041202094525,0.8365608368025792
SSRP,low,0.2,21,21,100,100,0.2225172993462098,0.1793288911722668,0.20809819047619046,0.0030356325156325153,0.02573366678829115,-0.04318840817394301,0.8059098852051628
